base_learner_type,ensemble_method,method_params,repetition,ucr_score,computational_time
MP,wv_ols,{},1,0.536,248.31269192695618
MP,wv_ols_r2,"{""emphasize_diversity"": false}",1,0.232,252.08686518669128
MP,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",1,0.48400000000000004,153.32633566856384
MP,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",1,0.504,154.20021414756775
MP,simple_average,{},2,0.58,152.58536410331723
MP,maximum_score,{},2,0.22,152.79682874679565
MP,wv_ols,{},2,0.4,249.75778937339783
MP,wv_ols_r2,"{""emphasize_diversity"": false}",2,0.164,251.68422174453735
MP,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",2,0.39200000000000007,153.32494115829473
MP,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",2,0.444,154.22101283073428
MP,simple_average,{},3,0.6280000000000001,152.5829966068268
MP,maximum_score,{},3,0.256,152.79768300056458
MP,wv_ols,{},3,0.468,247.98415470123288
MP,wv_ols_r2,"{""emphasize_diversity"": false}",3,0.168,251.2277340888977
MP,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",3,0.536,153.30300807952878
MP,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",3,0.54,154.21518421173093
MP,simple_average,{},4,0.588,152.57736706733704
MP,maximum_score,{},4,0.24000000000000002,152.7911157608032
MP,wv_ols,{},4,0.48000000000000004,247.518052816391
MP,wv_ols_r2,"{""emphasize_diversity"": false}",4,0.17600000000000002,254.40099573135373
MP,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",4,0.48800000000000004,153.30782270431519
MP,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",4,0.528,154.23129677772525
MP,simple_average,{},5,0.6120000000000001,144.09800982475278
MP,maximum_score,{},5,0.23600000000000002,144.3051443099976
MP,wv_ols,{},5,0.54,239.22409057617185
MP,wv_ols_r2,"{""emphasize_diversity"": false}",5,0.196,243.25654578208923
MP,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",5,0.556,144.82390928268438
MP,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",5,0.516,145.73900532722473
MP,simple_average,{},6,0.56,143.9642174243927
MP,maximum_score,{},6,0.228,144.17875719070435
MP,wv_ols,{},6,0.452,238.17034697532657
MP,wv_ols_r2,"{""emphasize_diversity"": false}",6,0.132,247.29105997085568
MP,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",6,0.464,144.70012807846072
MP,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",6,0.47600000000000003,145.6183443069458
MP,simple_average,{},7,0.588,152.678151845932
MP,maximum_score,{},7,0.24400000000000002,152.88483047485354
MP,wv_ols,{},7,0.504,246.8225655555725
MP,wv_ols_r2,"{""emphasize_diversity"": false}",7,0.196,252.32011437416077
MP,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",7,0.5680000000000001,153.39905738830566
MP,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",7,0.52,154.29776883125305
MP,simple_average,{},8,0.576,152.65345764160156
